Loaded file /home/script/tesseract/tesstutorial/khalayer/khalayer_checkpoint, unpacking...
Successfully restored trainer from /home/script/tesseract/tesstutorial/khalayer/khalayer_checkpoint
Loaded 16005/16005 lines (1-16005) of document /home/script/tesseract/tesstutorial/khatraineng/eng.Liberation_Serif.exp0.lstmf
Loaded 3666/3666 lines (1-3666) of document /home/script/tesseract/tesstutorial/khaevaleng/eng.Liberation_Serif.exp0.lstmf
At iteration 3272/30400/30400, Mean rms=0.16%, delta=0.043%, char train=0.1%, word train=0.225%, skip ratio=0%,  New worst char error = 0.1 wrote checkpoint.

At iteration 3275/30500/30500, Mean rms=0.161%, delta=0.044%, char train=0.104%, word train=0.237%, skip ratio=0%,  New worst char error = 0.104 wrote checkpoint.

At iteration 3278/30600/30600, Mean rms=0.158%, delta=0.043%, char train=0.106%, word train=0.248%, skip ratio=0%,  New worst char error = 0.106 wrote checkpoint.

At iteration 3281/30700/30700, Mean rms=0.16%, delta=0.043%, char train=0.108%, word train=0.254%, skip ratio=0%,  New worst char error = 0.108 wrote checkpoint.

At iteration 3286/30800/30800, Mean rms=0.165%, delta=0.059%, char train=0.143%, word train=0.343%, skip ratio=0%,  New worst char error = 0.143 wrote checkpoint.

At iteration 3287/30900/30900, Mean rms=0.165%, delta=0.058%, char train=0.141%, word train=0.343%, skip ratio=0%,  New worst char error = 0.141 wrote checkpoint.

At iteration 3292/31000/31000, Mean rms=0.163%, delta=0.039%, char train=0.095%, word train=0.288%, skip ratio=0%,  New worst char error = 0.095 wrote checkpoint.

At iteration 3294/31100/31100, Mean rms=0.158%, delta=0.035%, char train=0.091%, word train=0.251%, skip ratio=0%,  New worst char error = 0.091 wrote checkpoint.

At iteration 3299/31200/31200, Mean rms=0.158%, delta=0.035%, char train=0.091%, word train=0.261%, skip ratio=0%,  New worst char error = 0.091 wrote checkpoint.

At iteration 3300/31300/31300, Mean rms=0.158%, delta=0.039%, char train=0.097%, word train=0.282%, skip ratio=0%,  New worst char error = 0.097 wrote checkpoint.

At iteration 3300/31400/31400, Mean rms=0.156%, delta=0.039%, char train=0.095%, word train=0.275%, skip ratio=0%,  New worst char error = 0.095 wrote checkpoint.

At iteration 3303/31500/31500, Mean rms=0.157%, delta=0.04%, char train=0.101%, word train=0.278%, skip ratio=0%,  New worst char error = 0.101 wrote checkpoint.

At iteration 3305/31600/31600, Mean rms=0.156%, delta=0.039%, char train=0.092%, word train=0.258%, skip ratio=0%,  New worst char error = 0.092 wrote checkpoint.

At iteration 3308/31700/31700, Mean rms=0.155%, delta=0.04%, char train=0.096%, word train=0.27%, skip ratio=0%,  New worst char error = 0.096 wrote checkpoint.

At iteration 3311/31800/31800, Mean rms=0.148%, delta=0.028%, char train=0.069%, word train=0.167%, skip ratio=0%,  New worst char error = 0.069 wrote checkpoint.

At iteration 3315/31900/31900, Mean rms=0.149%, delta=0.031%, char train=0.081%, word train=0.197%, skip ratio=0%,  New worst char error = 0.081 wrote checkpoint.

At iteration 3319/32000/32000, Mean rms=0.15%, delta=0.03%, char train=0.084%, word train=0.22%, skip ratio=0%,  New worst char error = 0.084 wrote checkpoint.

At iteration 3321/32100/32100, Mean rms=0.148%, delta=0.031%, char train=0.085%, word train=0.218%, skip ratio=0%,  New worst char error = 0.085 wrote checkpoint.

At iteration 3325/32200/32200, Mean rms=0.149%, delta=0.03%, char train=0.082%, word train=0.211%, skip ratio=0%,  New worst char error = 0.082 wrote checkpoint.

At iteration 3328/32300/32300, Mean rms=0.15%, delta=0.028%, char train=0.08%, word train=0.211%, skip ratio=0%,  New worst char error = 0.08 wrote checkpoint.

At iteration 3332/32400/32400, Mean rms=0.154%, delta=0.031%, char train=0.088%, word train=0.243%, skip ratio=0%,  New worst char error = 0.088 wrote checkpoint.

At iteration 3333/32500/32500, Mean rms=0.152%, delta=0.027%, char train=0.076%, word train=0.226%, skip ratio=0%,  New worst char error = 0.076 wrote checkpoint.

At iteration 3335/32600/32600, Mean rms=0.153%, delta=0.028%, char train=0.081%, word train=0.237%, skip ratio=0%,  New worst char error = 0.081 wrote checkpoint.

At iteration 3340/32700/32700, Mean rms=0.156%, delta=0.028%, char train=0.081%, word train=0.249%, skip ratio=0%,  New worst char error = 0.081 wrote checkpoint.

At iteration 3342/32800/32800, Mean rms=0.155%, delta=0.023%, char train=0.073%, word train=0.259%, skip ratio=0%,  New worst char error = 0.073 wrote checkpoint.

At iteration 3346/32900/32900, Mean rms=0.155%, delta=0.023%, char train=0.071%, word train=0.258%, skip ratio=0%,  New worst char error = 0.071 wrote checkpoint.

At iteration 3349/33000/33000, Mean rms=0.154%, delta=0.021%, char train=0.066%, word train=0.24%, skip ratio=0%,  New worst char error = 0.066 wrote checkpoint.

