Loaded file /home/script/tesseract/tesstutorial/khalayer/khalayer_checkpoint, unpacking...
Successfully restored trainer from /home/script/tesseract/tesstutorial/khalayer/khalayer_checkpoint
Loaded 16005/16005 lines (1-16005) of document /home/script/tesseract/tesstutorial/khatraineng/eng.Liberation_Serif.exp0.lstmf
Loaded 3666/3666 lines (1-3666) of document /home/script/tesseract/tesstutorial/khaevaleng/eng.Liberation_Serif.exp0.lstmf
At iteration 4151/72500/72500, Mean rms=0.13%, delta=0.024%, char train=0.079%, word train=0.193%, skip ratio=0%,  New worst char error = 0.079 wrote checkpoint.

At iteration 4153/72600/72600, Mean rms=0.132%, delta=0.029%, char train=0.091%, word train=0.232%, skip ratio=0%,  New worst char error = 0.091 wrote checkpoint.

At iteration 4158/72700/72700, Mean rms=0.137%, delta=0.03%, char train=0.087%, word train=0.223%, skip ratio=0%,  New worst char error = 0.087 wrote checkpoint.

At iteration 4160/72800/72800, Mean rms=0.138%, delta=0.028%, char train=0.083%, word train=0.23%, skip ratio=0%,  New worst char error = 0.083 wrote checkpoint.

At iteration 4163/72900/72900, Mean rms=0.143%, delta=0.032%, char train=0.093%, word train=0.259%, skip ratio=0%,  New worst char error = 0.093 wrote checkpoint.

At iteration 4164/73000/73000, Mean rms=0.143%, delta=0.03%, char train=0.091%, word train=0.252%, skip ratio=0%,  New worst char error = 0.091 wrote checkpoint.

At iteration 4164/73100/73100, Mean rms=0.136%, delta=0.026%, char train=0.08%, word train=0.223%, skip ratio=0%,  New worst char error = 0.08 wrote checkpoint.

At iteration 4165/73200/73200, Mean rms=0.136%, delta=0.025%, char train=0.075%, word train=0.211%, skip ratio=0%,  New worst char error = 0.075 wrote checkpoint.

At iteration 4166/73300/73300, Mean rms=0.133%, delta=0.022%, char train=0.068%, word train=0.197%, skip ratio=0%,  New worst char error = 0.068 wrote checkpoint.

At iteration 4167/73400/73400, Mean rms=0.133%, delta=0.022%, char train=0.068%, word train=0.196%, skip ratio=0%,  New worst char error = 0.068 wrote checkpoint.

At iteration 4170/73500/73500, Mean rms=0.131%, delta=0.019%, char train=0.053%, word train=0.164%, skip ratio=0%,  New worst char error = 0.053 wrote checkpoint.

At iteration 4173/73600/73600, Mean rms=0.133%, delta=0.016%, char train=0.053%, word train=0.187%, skip ratio=0%,  New worst char error = 0.053 wrote checkpoint.

At iteration 4173/73700/73700, Mean rms=0.13%, delta=0.012%, char train=0.044%, word train=0.169%, skip ratio=0%,  New worst char error = 0.044 wrote checkpoint.

At iteration 4174/73800/73800, Mean rms=0.127%, delta=0.011%, char train=0.041%, word train=0.148%, skip ratio=0%,  New worst char error = 0.041 wrote checkpoint.

At iteration 4174/73900/73900, Mean rms=0.121%, delta=0.007%, char train=0.031%, word train=0.116%, skip ratio=0%,  New worst char error = 0.031 wrote checkpoint.

At iteration 4174/74000/74000, Mean rms=0.12%, delta=0.007%, char train=0.029%, word train=0.11%, skip ratio=0%,  New worst char error = 0.029 wrote checkpoint.

At iteration 4177/74100/74100, Mean rms=0.123%, delta=0.009%, char train=0.038%, word train=0.138%, skip ratio=0%,  New worst char error = 0.038 wrote checkpoint.

At iteration 4181/74200/74200, Mean rms=0.125%, delta=0.011%, char train=0.046%, word train=0.183%, skip ratio=0%,  New worst char error = 0.046 wrote checkpoint.

At iteration 4182/74300/74300, Mean rms=0.124%, delta=0.011%, char train=0.045%, word train=0.184%, skip ratio=0%,  New worst char error = 0.045 wrote checkpoint.

At iteration 4183/74400/74400, Mean rms=0.124%, delta=0.012%, char train=0.046%, word train=0.183%, skip ratio=0%,  New worst char error = 0.046 wrote checkpoint.

At iteration 4183/74500/74500, Mean rms=0.121%, delta=0.009%, char train=0.039%, word train=0.168%, skip ratio=0%,  New worst char error = 0.039 wrote checkpoint.

At iteration 4184/74600/74600, Mean rms=0.118%, delta=0.008%, char train=0.03%, word train=0.116%, skip ratio=0%,  New worst char error = 0.03 wrote checkpoint.

At iteration 4185/74700/74700, Mean rms=0.116%, delta=0.009%, char train=0.03%, word train=0.116%, skip ratio=0%,  New worst char error = 0.03 wrote checkpoint.

At iteration 4185/74800/74800, Mean rms=0.115%, delta=0.008%, char train=0.028%, word train=0.111%, skip ratio=0%,  New worst char error = 0.028 wrote checkpoint.

At iteration 4186/74900/74900, Mean rms=0.116%, delta=0.009%, char train=0.029%, word train=0.118%, skip ratio=0%,  New worst char error = 0.029 wrote checkpoint.

At iteration 4186/75000/75000, Mean rms=0.116%, delta=0.009%, char train=0.029%, word train=0.118%, skip ratio=0%,  New worst char error = 0.029 wrote checkpoint.

At iteration 4190/75100/75100, Mean rms=0.116%, delta=0.01%, char train=0.029%, word train=0.123%, skip ratio=0%,  New worst char error = 0.029 wrote checkpoint.

At iteration 4191/75200/75200, Mean rms=0.115%, delta=0.007%, char train=0.022%, word train=0.073%, skip ratio=0%,  New worst char error = 0.022 wrote checkpoint.

At iteration 4191/75300/75300, Mean rms=0.115%, delta=0.007%, char train=0.02%, word train=0.061%, skip ratio=0%,  New worst char error = 0.02 wrote checkpoint.

At iteration 4194/75400/75400, Mean rms=0.117%, delta=0.008%, char train=0.023%, word train=0.074%, skip ratio=0%,  New worst char error = 0.023 wrote checkpoint.

At iteration 4196/75500/75500, Mean rms=0.118%, delta=0.009%, char train=0.026%, word train=0.085%, skip ratio=0%,  New worst char error = 0.026 wrote checkpoint.

At iteration 4196/75600/75600, Mean rms=0.118%, delta=0.009%, char train=0.024%, word train=0.075%, skip ratio=0%,  New worst char error = 0.024 wrote checkpoint.

At iteration 4196/75700/75700, Mean rms=0.12%, delta=0.008%, char train=0.024%, word train=0.072%, skip ratio=0%,  New worst char error = 0.024 wrote checkpoint.

At iteration 4198/75800/75800, Mean rms=0.121%, delta=0.009%, char train=0.03%, word train=0.088%, skip ratio=0%,  New worst char error = 0.03 wrote checkpoint.

At iteration 4199/75900/75900, Mean rms=0.121%, delta=0.009%, char train=0.031%, word train=0.094%, skip ratio=0%,  New worst char error = 0.031 wrote checkpoint.

At iteration 4201/76000/76000, Mean rms=0.123%, delta=0.011%, char train=0.039%, word train=0.124%, skip ratio=0%,  New worst char error = 0.039 wrote checkpoint.

At iteration 4202/76100/76100, Mean rms=0.121%, delta=0.009%, char train=0.033%, word train=0.096%, skip ratio=0%,  New worst char error = 0.033 wrote checkpoint.

At iteration 4203/76200/76200, Mean rms=0.12%, delta=0.009%, char train=0.033%, word train=0.104%, skip ratio=0%,  New worst char error = 0.033 wrote checkpoint.

At iteration 4204/76300/76300, Mean rms=0.12%, delta=0.01%, char train=0.035%, word train=0.112%, skip ratio=0%,  New worst char error = 0.035 wrote checkpoint.

At iteration 4204/76400/76400, Mean rms=0.118%, delta=0.008%, char train=0.029%, word train=0.095%, skip ratio=0%,  New worst char error = 0.029 wrote checkpoint.

