Loaded file /home/script/tesseract/tesstutorial/khalayer/khalayer_checkpoint, unpacking...
Successfully restored trainer from /home/script/tesseract/tesstutorial/khalayer/khalayer_checkpoint
Loaded 16005/16005 lines (1-16005) of document /home/script/tesseract/tesstutorial/khatraineng/eng.Liberation_Serif.exp0.lstmf
Loaded 3666/3666 lines (1-3666) of document /home/script/tesseract/tesstutorial/khaevaleng/eng.Liberation_Serif.exp0.lstmf
At iteration 3770/50400/50400, Mean rms=0.138%, delta=0.028%, char train=0.075%, word train=0.214%, skip ratio=0%,  New worst char error = 0.075 wrote checkpoint.

At iteration 3773/50500/50500, Mean rms=0.137%, delta=0.024%, char train=0.071%, word train=0.204%, skip ratio=0%,  New worst char error = 0.071 wrote checkpoint.

At iteration 3779/50600/50600, Mean rms=0.145%, delta=0.047%, char train=0.135%, word train=0.42%, skip ratio=0%,  New worst char error = 0.135 wrote checkpoint.

At iteration 3781/50700/50700, Mean rms=0.148%, delta=0.064%, char train=0.183%, word train=0.533%, skip ratio=0%,  New worst char error = 0.183 wrote checkpoint.

At iteration 3783/50800/50800, Mean rms=0.147%, delta=0.062%, char train=0.183%, word train=0.539%, skip ratio=0%,  New worst char error = 0.183 wrote checkpoint.

At iteration 3790/50900/50900, Mean rms=0.154%, delta=0.07%, char train=0.206%, word train=0.586%, skip ratio=0%,  New worst char error = 0.206 wrote checkpoint.

At iteration 3792/51000/51000, Mean rms=0.157%, delta=0.071%, char train=0.206%, word train=0.585%, skip ratio=0%,  New worst char error = 0.206 wrote checkpoint.

At iteration 3797/51100/51100, Mean rms=0.161%, delta=0.075%, char train=0.224%, word train=0.628%, skip ratio=0%,  New worst char error = 0.224 wrote checkpoint.

At iteration 3800/51200/51200, Mean rms=0.158%, delta=0.069%, char train=0.197%, word train=0.557%, skip ratio=0%,  New worst char error = 0.197 wrote checkpoint.

At iteration 3801/51300/51300, Mean rms=0.155%, delta=0.066%, char train=0.187%, word train=0.534%, skip ratio=0%,  New worst char error = 0.187 wrote checkpoint.

At iteration 3802/51400/51400, Mean rms=0.153%, delta=0.064%, char train=0.184%, word train=0.527%, skip ratio=0%,  New worst char error = 0.184 wrote checkpoint.

At iteration 3803/51500/51500, Mean rms=0.15%, delta=0.063%, char train=0.181%, word train=0.519%, skip ratio=0%,  New worst char error = 0.181 wrote checkpoint.

At iteration 3805/51600/51600, Mean rms=0.145%, delta=0.041%, char train=0.122%, word train=0.318%, skip ratio=0%,  New worst char error = 0.122 wrote checkpoint.

At iteration 3810/51700/51700, Mean rms=0.146%, delta=0.029%, char train=0.087%, word train=0.253%, skip ratio=0%,  New worst char error = 0.087 wrote checkpoint.

At iteration 3810/51800/51800, Mean rms=0.144%, delta=0.027%, char train=0.083%, word train=0.238%, skip ratio=0%,  New worst char error = 0.083 wrote checkpoint.

At iteration 3813/51900/51900, Mean rms=0.139%, delta=0.021%, char train=0.065%, word train=0.203%, skip ratio=0%,  New worst char error = 0.065 wrote checkpoint.

At iteration 3815/52000/52000, Mean rms=0.139%, delta=0.021%, char train=0.069%, word train=0.221%, skip ratio=0%,  New worst char error = 0.069 wrote checkpoint.

At iteration 3816/52100/52100, Mean rms=0.135%, delta=0.017%, char train=0.051%, word train=0.169%, skip ratio=0%,  New worst char error = 0.051 wrote checkpoint.

At iteration 3816/52200/52200, Mean rms=0.132%, delta=0.014%, char train=0.044%, word train=0.137%, skip ratio=0%,  New worst char error = 0.044 wrote checkpoint.

