Loaded file /home/script/tesseract/tesstutorial/khalayer/khalayer_checkpoint, unpacking...
Successfully restored trainer from /home/script/tesseract/tesstutorial/khalayer/khalayer_checkpoint
Loaded 16005/16005 lines (1-16005) of document /home/script/tesseract/tesstutorial/khatraineng/eng.Liberation_Serif.exp0.lstmf
Loaded 3666/3666 lines (1-3666) of document /home/script/tesseract/tesstutorial/khaevaleng/eng.Liberation_Serif.exp0.lstmf
At iteration 3972/60400/60400, Mean rms=0.127%, delta=0.017%, char train=0.056%, word train=0.135%, skip ratio=0%,  New worst char error = 0.056 wrote checkpoint.

At iteration 3975/60500/60500, Mean rms=0.127%, delta=0.017%, char train=0.061%, word train=0.147%, skip ratio=0%,  New worst char error = 0.061 wrote checkpoint.

At iteration 3976/60600/60600, Mean rms=0.126%, delta=0.018%, char train=0.067%, word train=0.155%, skip ratio=0%,  New worst char error = 0.067 wrote checkpoint.

At iteration 3977/60700/60700, Mean rms=0.125%, delta=0.018%, char train=0.067%, word train=0.149%, skip ratio=0%,  New worst char error = 0.067 wrote checkpoint.

At iteration 3977/60800/60800, Mean rms=0.123%, delta=0.016%, char train=0.058%, word train=0.129%, skip ratio=0%,  New worst char error = 0.058 wrote checkpoint.

At iteration 3980/60900/60900, Mean rms=0.126%, delta=0.018%, char train=0.064%, word train=0.142%, skip ratio=0%,  New worst char error = 0.064 wrote checkpoint.

At iteration 3982/61000/61000, Mean rms=0.126%, delta=0.013%, char train=0.051%, word train=0.129%, skip ratio=0%,  New worst char error = 0.051 wrote checkpoint.

At iteration 3984/61100/61100, Mean rms=0.126%, delta=0.013%, char train=0.049%, word train=0.126%, skip ratio=0%,  New worst char error = 0.049 wrote checkpoint.

At iteration 3985/61200/61200, Mean rms=0.126%, delta=0.013%, char train=0.052%, word train=0.131%, skip ratio=0%,  New worst char error = 0.052 wrote checkpoint.

At iteration 3986/61300/61300, Mean rms=0.126%, delta=0.014%, char train=0.049%, word train=0.133%, skip ratio=0%,  New worst char error = 0.049 wrote checkpoint.

At iteration 3987/61400/61400, Mean rms=0.125%, delta=0.013%, char train=0.047%, word train=0.13%, skip ratio=0%,  New worst char error = 0.047 wrote checkpoint.

At iteration 3989/61500/61500, Mean rms=0.125%, delta=0.012%, char train=0.045%, word train=0.123%, skip ratio=0%,  New worst char error = 0.045 wrote checkpoint.

At iteration 3990/61600/61600, Mean rms=0.125%, delta=0.011%, char train=0.04%, word train=0.115%, skip ratio=0%,  New worst char error = 0.04 wrote checkpoint.

At iteration 3992/61700/61700, Mean rms=0.127%, delta=0.012%, char train=0.04%, word train=0.119%, skip ratio=0%,  New worst char error = 0.04 wrote checkpoint.

At iteration 3993/61800/61800, Mean rms=0.128%, delta=0.013%, char train=0.042%, word train=0.131%, skip ratio=0%,  New worst char error = 0.042 wrote checkpoint.

At iteration 3994/61900/61900, Mean rms=0.127%, delta=0.012%, char train=0.041%, word train=0.13%, skip ratio=0%,  New worst char error = 0.041 wrote checkpoint.

