Loaded file /home/script/tesseract/tesstutorial/khalayer/khalayer_checkpoint, unpacking...
Successfully restored trainer from /home/script/tesseract/tesstutorial/khalayer/khalayer_checkpoint
Loaded 16005/16005 lines (1-16005) of document /home/script/tesseract/tesstutorial/khatraineng/eng.Liberation_Serif.exp0.lstmf
Loaded 3666/3666 lines (1-3666) of document /home/script/tesseract/tesstutorial/khaevaleng/eng.Liberation_Serif.exp0.lstmf
At iteration 3093/24600/24600, Mean rms=0.182%, delta=0.052%, char train=0.148%, word train=0.414%, skip ratio=0%,  New worst char error = 0.148 wrote checkpoint.

At iteration 3096/24700/24700, Mean rms=0.182%, delta=0.044%, char train=0.133%, word train=0.379%, skip ratio=0%,  New worst char error = 0.133 wrote checkpoint.

At iteration 3098/24800/24800, Mean rms=0.181%, delta=0.043%, char train=0.13%, word train=0.384%, skip ratio=0%,  New worst char error = 0.13 wrote checkpoint.

At iteration 3107/24900/24900, Mean rms=0.188%, delta=0.05%, char train=0.15%, word train=0.444%, skip ratio=0%,  New worst char error = 0.15 wrote checkpoint.

At iteration 3110/25000/25000, Mean rms=0.186%, delta=0.047%, char train=0.147%, word train=0.436%, skip ratio=0%,  New worst char error = 0.147 wrote checkpoint.

At iteration 3110/25100/25100, Mean rms=0.179%, delta=0.041%, char train=0.127%, word train=0.389%, skip ratio=0%,  New worst char error = 0.127 wrote checkpoint.

At iteration 3111/25200/25200, Mean rms=0.174%, delta=0.033%, char train=0.108%, word train=0.33%, skip ratio=0%,  New worst char error = 0.108 wrote checkpoint.

At iteration 3114/25300/25300, Mean rms=0.168%, delta=0.031%, char train=0.097%, word train=0.303%, skip ratio=0%,  New worst char error = 0.097 wrote checkpoint.

At iteration 3120/25400/25400, Mean rms=0.17%, delta=0.034%, char train=0.109%, word train=0.35%, skip ratio=0%,  New worst char error = 0.109 wrote checkpoint.

At iteration 3123/25500/25500, Mean rms=0.166%, delta=0.03%, char train=0.094%, word train=0.314%, skip ratio=0%,  New worst char error = 0.094 wrote checkpoint.

At iteration 3130/25600/25600, Mean rms=0.168%, delta=0.031%, char train=0.099%, word train=0.328%, skip ratio=0%,  New worst char error = 0.099 wrote checkpoint.

At iteration 3131/25700/25700, Mean rms=0.165%, delta=0.03%, char train=0.092%, word train=0.304%, skip ratio=0%,  New worst char error = 0.092 wrote checkpoint.

At iteration 3134/25800/25800, Mean rms=0.164%, delta=0.03%, char train=0.092%, word train=0.294%, skip ratio=0%,  New worst char error = 0.092 wrote checkpoint.

2 Percent improvement time=1820, best error was 2.606 @ 1317
At iteration 3137/25900/25900, Mean rms=0.159%, delta=0.024%, char train=0.075%, word train=0.239%, skip ratio=0%,  New best char error = 0.075 wrote best model:/home/script/tesseract/tesstutorial/khalayer/khalayer0.075_3137.checkpoint wrote checkpoint.

At iteration 3140/26000/26000, Mean rms=0.16%, delta=0.025%, char train=0.077%, word train=0.251%, skip ratio=0%,  New worst char error = 0.077 wrote checkpoint.

At iteration 3145/26100/26100, Mean rms=0.165%, delta=0.029%, char train=0.089%, word train=0.282%, skip ratio=0%,  New worst char error = 0.089 wrote checkpoint.

At iteration 3148/26200/26200, Mean rms=0.169%, delta=0.031%, char train=0.099%, word train=0.309%, skip ratio=0%,  New worst char error = 0.099 wrote checkpoint.

At iteration 3153/26300/26300, Mean rms=0.171%, delta=0.033%, char train=0.109%, word train=0.328%, skip ratio=0%,  New worst char error = 0.109 wrote checkpoint.

At iteration 3155/26400/26400, Mean rms=0.167%, delta=0.029%, char train=0.095%, word train=0.282%, skip ratio=0%,  New worst char error = 0.095 wrote checkpoint.

At iteration 3155/26500/26500, Mean rms=0.165%, delta=0.027%, char train=0.084%, word train=0.24%, skip ratio=0%,  New worst char error = 0.084 wrote checkpoint.

At iteration 3158/26600/26600, Mean rms=0.164%, delta=0.023%, char train=0.076%, word train=0.216%, skip ratio=0%,  New worst char error = 0.076 wrote checkpoint.

At iteration 3163/26700/26700, Mean rms=0.165%, delta=0.026%, char train=0.081%, word train=0.237%, skip ratio=0%,  New worst char error = 0.081 wrote checkpoint.

At iteration 3164/26800/26800, Mean rms=0.164%, delta=0.025%, char train=0.078%, word train=0.232%, skip ratio=0%,  New worst char error = 0.078 wrote checkpoint.

At iteration 3168/26900/26900, Mean rms=0.165%, delta=0.025%, char train=0.08%, word train=0.235%, skip ratio=0%,  New worst char error = 0.08 wrote checkpoint.

2 Percent improvement time=1851, best error was 2.606 @ 1317
At iteration 3168/27000/27000, Mean rms=0.162%, delta=0.023%, char train=0.072%, word train=0.204%, skip ratio=0%,  New best char error = 0.072 wrote best model:/home/script/tesseract/tesstutorial/khalayer/khalayer0.072_3168.checkpoint wrote checkpoint.

At iteration 3175/27100/27100, Mean rms=0.163%, delta=0.024%, char train=0.078%, word train=0.224%, skip ratio=0%,  New worst char error = 0.078 wrote checkpoint.

At iteration 3180/27200/27200, Mean rms=0.165%, delta=0.027%, char train=0.076%, word train=0.217%, skip ratio=0%,  New worst char error = 0.076 wrote checkpoint.

2 Percent improvement time=1866, best error was 2.606 @ 1317
At iteration 3183/27300/27300, Mean rms=0.165%, delta=0.026%, char train=0.071%, word train=0.212%, skip ratio=0%,  New best char error = 0.071 wrote checkpoint.

At iteration 3189/27400/27400, Mean rms=0.167%, delta=0.031%, char train=0.083%, word train=0.236%, skip ratio=0%,  New worst char error = 0.083 wrote checkpoint.

At iteration 3193/27500/27500, Mean rms=0.171%, delta=0.035%, char train=0.094%, word train=0.257%, skip ratio=0%,  New worst char error = 0.094 wrote checkpoint.

At iteration 3195/27600/27600, Mean rms=0.17%, delta=0.035%, char train=0.088%, word train=0.241%, skip ratio=0%,  New worst char error = 0.088 wrote checkpoint.

At iteration 3198/27700/27700, Mean rms=0.17%, delta=0.033%, char train=0.094%, word train=0.229%, skip ratio=0%,  New worst char error = 0.094 wrote checkpoint.

At iteration 3202/27800/27800, Mean rms=0.174%, delta=0.037%, char train=0.111%, word train=0.279%, skip ratio=0%,  New worst char error = 0.111 wrote checkpoint.

At iteration 3203/27900/27900, Mean rms=0.171%, delta=0.035%, char train=0.101%, word train=0.265%, skip ratio=0%,  New worst char error = 0.101 wrote checkpoint.

At iteration 3207/28000/28000, Mean rms=0.175%, delta=0.041%, char train=0.131%, word train=0.326%, skip ratio=0%,  New worst char error = 0.131 wrote checkpoint.

At iteration 3212/28100/28100, Mean rms=0.174%, delta=0.041%, char train=0.129%, word train=0.317%, skip ratio=0%,  New worst char error = 0.129 wrote checkpoint.

At iteration 3214/28200/28200, Mean rms=0.169%, delta=0.036%, char train=0.122%, word train=0.294%, skip ratio=0%,  New worst char error = 0.122 wrote checkpoint.

At iteration 3218/28300/28300, Mean rms=0.17%, delta=0.036%, char train=0.129%, word train=0.304%, skip ratio=0%,  New worst char error = 0.129 wrote checkpoint.

At iteration 3221/28400/28400, Mean rms=0.167%, delta=0.034%, char train=0.125%, word train=0.291%, skip ratio=0%,  New worst char error = 0.125 wrote checkpoint.

At iteration 3228/28500/28500, Mean rms=0.168%, delta=0.035%, char train=0.131%, word train=0.34%, skip ratio=0%,  New worst char error = 0.131 wrote checkpoint.

At iteration 3230/28600/28600, Mean rms=0.166%, delta=0.036%, char train=0.131%, word train=0.34%, skip ratio=0%,  New worst char error = 0.131 wrote checkpoint.

At iteration 3231/28700/28700, Mean rms=0.164%, delta=0.035%, char train=0.122%, word train=0.331%, skip ratio=0%,  New worst char error = 0.122 wrote checkpoint.

At iteration 3234/28800/28800, Mean rms=0.163%, delta=0.032%, char train=0.111%, word train=0.3%, skip ratio=0%,  New worst char error = 0.111 wrote checkpoint.

At iteration 3237/28900/28900, Mean rms=0.162%, delta=0.033%, char train=0.115%, word train=0.309%, skip ratio=0%,  New worst char error = 0.115 wrote checkpoint.

At iteration 3240/29000/29000, Mean rms=0.16%, delta=0.03%, char train=0.093%, word train=0.268%, skip ratio=0%,  New worst char error = 0.093 wrote checkpoint.

At iteration 3242/29100/29100, Mean rms=0.158%, delta=0.028%, char train=0.08%, word train=0.242%, skip ratio=0%,  New worst char error = 0.08 wrote checkpoint.

At iteration 3243/29200/29200, Mean rms=0.158%, delta=0.028%, char train=0.083%, word train=0.251%, skip ratio=0%,  New worst char error = 0.083 wrote checkpoint.

At iteration 3245/29300/29300, Mean rms=0.158%, delta=0.026%, char train=0.074%, word train=0.218%, skip ratio=0%,  New worst char error = 0.074 wrote checkpoint.

2 Percent improvement time=1931, best error was 2.606 @ 1317
At iteration 3248/29400/29400, Mean rms=0.158%, delta=0.025%, char train=0.07%, word train=0.209%, skip ratio=0%,  New best char error = 0.07 wrote checkpoint.

2 Percent improvement time=1932, best error was 2.606 @ 1317
At iteration 3249/29500/29500, Mean rms=0.155%, delta=0.019%, char train=0.056%, word train=0.146%, skip ratio=0%,  New best char error = 0.056 wrote best model:/home/script/tesseract/tesstutorial/khalayer/khalayer0.056_3249.checkpoint wrote checkpoint.

At iteration 3252/29600/29600, Mean rms=0.157%, delta=0.022%, char train=0.062%, word train=0.153%, skip ratio=0%,  New worst char error = 0.062 wrote checkpoint.

At iteration 3254/29700/29700, Mean rms=0.157%, delta=0.023%, char train=0.063%, word train=0.158%, skip ratio=0%,  New worst char error = 0.063 wrote checkpoint.

At iteration 3257/29800/29800, Mean rms=0.157%, delta=0.023%, char train=0.06%, word train=0.156%, skip ratio=0%,  New worst char error = 0.06 wrote checkpoint.

2 Percent improvement time=1942, best error was 2.606 @ 1317
At iteration 3259/29900/29900, Mean rms=0.157%, delta=0.022%, char train=0.055%, word train=0.132%, skip ratio=0%,  New best char error = 0.055 wrote checkpoint.

At iteration 3262/30000/30000, Mean rms=0.159%, delta=0.041%, char train=0.101%, word train=0.191%, skip ratio=0%,  New worst char error = 0.101 wrote checkpoint.

At iteration 3268/30100/30100, Mean rms=0.164%, delta=0.043%, char train=0.107%, word train=0.227%, skip ratio=0%,  New worst char error = 0.107 wrote checkpoint.

At iteration 3270/30200/30200, Mean rms=0.163%, delta=0.045%, char train=0.108%, word train=0.23%, skip ratio=0%,  New worst char error = 0.108 wrote checkpoint.

At iteration 3271/30300/30300, Mean rms=0.162%, delta=0.044%, char train=0.105%, word train=0.235%, skip ratio=0%,  New worst char error = 0.105 wrote checkpoint.

