Loaded file /home/script/tesseract/tesstutorial/khalayer/khalayer_checkpoint, unpacking...
Successfully restored trainer from /home/script/tesseract/tesstutorial/khalayer/khalayer_checkpoint
Loaded 16005/16005 lines (1-16005) of document /home/script/tesseract/tesstutorial/khatraineng/eng.Liberation_Serif.exp0.lstmf
Loaded 3666/3666 lines (1-3666) of document /home/script/tesseract/tesstutorial/khaevaleng/eng.Liberation_Serif.exp0.lstmf
At iteration 4276/82600/82600, Mean rms=0.115%, delta=0.008%, char train=0.024%, word train=0.078%, skip ratio=0%,  New worst char error = 0.024 wrote checkpoint.

At iteration 4276/82700/82700, Mean rms=0.115%, delta=0.008%, char train=0.024%, word train=0.078%, skip ratio=0%,  New worst char error = 0.024 wrote checkpoint.

At iteration 4278/82800/82800, Mean rms=0.115%, delta=0.008%, char train=0.023%, word train=0.069%, skip ratio=0%,  New worst char error = 0.023 wrote checkpoint.

At iteration 4283/82900/82900, Mean rms=0.118%, delta=0.01%, char train=0.033%, word train=0.099%, skip ratio=0%,  New worst char error = 0.033 wrote checkpoint.

At iteration 4284/83000/83000, Mean rms=0.119%, delta=0.01%, char train=0.037%, word train=0.11%, skip ratio=0%,  New worst char error = 0.037 wrote checkpoint.

At iteration 4286/83100/83100, Mean rms=0.121%, delta=0.011%, char train=0.039%, word train=0.113%, skip ratio=0%,  New worst char error = 0.039 wrote checkpoint.

At iteration 4287/83200/83200, Mean rms=0.121%, delta=0.011%, char train=0.038%, word train=0.112%, skip ratio=0%,  New worst char error = 0.038 wrote checkpoint.

At iteration 4288/83300/83300, Mean rms=0.121%, delta=0.012%, char train=0.041%, word train=0.118%, skip ratio=0%,  New worst char error = 0.041 wrote checkpoint.

At iteration 4290/83400/83400, Mean rms=0.122%, delta=0.014%, char train=0.046%, word train=0.131%, skip ratio=0%,  New worst char error = 0.046 wrote checkpoint.

At iteration 4290/83500/83500, Mean rms=0.12%, delta=0.013%, char train=0.042%, word train=0.116%, skip ratio=0%,  New worst char error = 0.042 wrote checkpoint.

At iteration 4294/83600/83600, Mean rms=0.121%, delta=0.014%, char train=0.047%, word train=0.137%, skip ratio=0%,  New worst char error = 0.047 wrote checkpoint.

At iteration 4298/83700/83700, Mean rms=0.126%, delta=0.018%, char train=0.054%, word train=0.166%, skip ratio=0%,  New worst char error = 0.054 wrote checkpoint.

At iteration 4298/83800/83800, Mean rms=0.125%, delta=0.016%, char train=0.049%, word train=0.162%, skip ratio=0%,  New worst char error = 0.049 wrote checkpoint.

At iteration 4298/83900/83900, Mean rms=0.123%, delta=0.013%, char train=0.036%, word train=0.128%, skip ratio=0%,  New worst char error = 0.036 wrote checkpoint.

At iteration 4300/84000/84000, Mean rms=0.123%, delta=0.013%, char train=0.034%, word train=0.117%, skip ratio=0%,  New worst char error = 0.034 wrote checkpoint.

At iteration 4300/84100/84100, Mean rms=0.123%, delta=0.012%, char train=0.032%, word train=0.111%, skip ratio=0%,  New worst char error = 0.032 wrote checkpoint.

At iteration 4300/84200/84200, Mean rms=0.122%, delta=0.012%, char train=0.03%, word train=0.105%, skip ratio=0%,  New worst char error = 0.03 wrote checkpoint.

At iteration 4302/84300/84300, Mean rms=0.124%, delta=0.012%, char train=0.031%, word train=0.106%, skip ratio=0%,  New worst char error = 0.031 wrote checkpoint.

At iteration 4303/84400/84400, Mean rms=0.125%, delta=0.012%, char train=0.032%, word train=0.107%, skip ratio=0%,  New worst char error = 0.032 wrote checkpoint.

At iteration 4306/84500/84500, Mean rms=0.127%, delta=0.015%, char train=0.037%, word train=0.125%, skip ratio=0%,  New worst char error = 0.037 wrote checkpoint.

At iteration 4308/84600/84600, Mean rms=0.125%, delta=0.011%, char train=0.026%, word train=0.085%, skip ratio=0%,  New worst char error = 0.026 wrote checkpoint.

At iteration 4309/84700/84700, Mean rms=0.12%, delta=0.009%, char train=0.023%, word train=0.065%, skip ratio=0%,  New worst char error = 0.023 wrote checkpoint.

At iteration 4310/84800/84800, Mean rms=0.12%, delta=0.01%, char train=0.026%, word train=0.073%, skip ratio=0%,  New worst char error = 0.026 wrote checkpoint.

At iteration 4312/84900/84900, Mean rms=0.121%, delta=0.014%, char train=0.034%, word train=0.092%, skip ratio=0%,  New worst char error = 0.034 wrote checkpoint.

At iteration 4312/85000/85000, Mean rms=0.118%, delta=0.013%, char train=0.033%, word train=0.092%, skip ratio=0%,  New worst char error = 0.033 wrote checkpoint.

At iteration 4313/85100/85100, Mean rms=0.118%, delta=0.013%, char train=0.035%, word train=0.105%, skip ratio=0%,  New worst char error = 0.035 wrote checkpoint.

At iteration 4314/85200/85200, Mean rms=0.117%, delta=0.014%, char train=0.036%, word train=0.111%, skip ratio=0%,  New worst char error = 0.036 wrote checkpoint.

At iteration 4315/85300/85300, Mean rms=0.116%, delta=0.013%, char train=0.036%, word train=0.115%, skip ratio=0%,  New worst char error = 0.036 wrote checkpoint.

At iteration 4317/85400/85400, Mean rms=0.117%, delta=0.015%, char train=0.033%, word train=0.122%, skip ratio=0%,  New worst char error = 0.033 wrote checkpoint.

At iteration 4318/85500/85500, Mean rms=0.115%, delta=0.013%, char train=0.029%, word train=0.11%, skip ratio=0%,  New worst char error = 0.029 wrote checkpoint.

At iteration 4320/85600/85600, Mean rms=0.115%, delta=0.012%, char train=0.03%, word train=0.109%, skip ratio=0%,  New worst char error = 0.03 wrote checkpoint.

At iteration 4322/85700/85700, Mean rms=0.115%, delta=0.013%, char train=0.033%, word train=0.116%, skip ratio=0%,  New worst char error = 0.033 wrote checkpoint.

At iteration 4325/85800/85800, Mean rms=0.117%, delta=0.016%, char train=0.04%, word train=0.125%, skip ratio=0%,  New worst char error = 0.04 wrote checkpoint.

At iteration 4327/85900/85900, Mean rms=0.117%, delta=0.014%, char train=0.035%, word train=0.115%, skip ratio=0%,  New worst char error = 0.035 wrote checkpoint.

At iteration 4327/86000/86000, Mean rms=0.116%, delta=0.014%, char train=0.035%, word train=0.115%, skip ratio=0%,  New worst char error = 0.035 wrote checkpoint.

At iteration 4329/86100/86100, Mean rms=0.116%, delta=0.014%, char train=0.034%, word train=0.1%, skip ratio=0%,  New worst char error = 0.034 wrote checkpoint.

At iteration 4331/86200/86200, Mean rms=0.118%, delta=0.016%, char train=0.038%, word train=0.11%, skip ratio=0%,  New worst char error = 0.038 wrote checkpoint.

At iteration 4333/86300/86300, Mean rms=0.12%, delta=0.017%, char train=0.039%, word train=0.119%, skip ratio=0%,  New worst char error = 0.039 wrote checkpoint.

At iteration 4334/86400/86400, Mean rms=0.12%, delta=0.016%, char train=0.04%, word train=0.108%, skip ratio=0%,  New worst char error = 0.04 wrote checkpoint.

At iteration 4334/86500/86500, Mean rms=0.119%, delta=0.015%, char train=0.039%, word train=0.102%, skip ratio=0%,  New worst char error = 0.039 wrote checkpoint.

At iteration 4336/86600/86600, Mean rms=0.12%, delta=0.015%, char train=0.039%, word train=0.115%, skip ratio=0%,  New worst char error = 0.039 wrote checkpoint.

At iteration 4337/86700/86700, Mean rms=0.119%, delta=0.014%, char train=0.035%, word train=0.114%, skip ratio=0%,  New worst char error = 0.035 wrote checkpoint.

At iteration 4337/86800/86800, Mean rms=0.116%, delta=0.01%, char train=0.026%, word train=0.096%, skip ratio=0%,  New worst char error = 0.026 wrote checkpoint.

At iteration 4339/86900/86900, Mean rms=0.115%, delta=0.01%, char train=0.026%, word train=0.1%, skip ratio=0%,  New worst char error = 0.026 wrote checkpoint.

